accessionnr	uit
AAR96248	Seal
AAR98819	Human
AAR98872	Avian
AAR99628	Avian
AAS07023	Avian
AAS45134	Avian
AAS48376	Avian
AAS48377	Avian
AAS48378	Avian
AAS48379	Avian
AAS48380	Avian
AAS48381	Avian
AAS48382	Avian
AAS48383	Avian
AAS48384	Avian
AAS48385	Avian
AAS48386	Avian
AAS48387	Avian
AAS48388	Avian
AAS48389	Avian
AAS48390	Avian
AAS48391	Avian
AAS48392	Avian
AAS50166	Avian
AAS50167	Avian
AAS57527	Avian
AAS57528	Avian
AAS57529	Avian
AAS57530	Avian
AAS57873	Leopard
AAS57874	Leopard
AAS57875	Tiger
AAS57876	Avian
AAS65615	Human
AAS65618	Human
AAS68158	Avian
AAS79356	Avian
AAS79359	Avian
AAS84247	Avian
AAS84248	Avian
AAS84249	Avian
AAS84250	Avian
AAS84251	Avian
AAS84252	Avian
AAS84253	Avian
AAS84254	Avian
AAS84255	Avian
AAS84256	Avian
AAS84257	Avian
AAS84258	Avian
AAS84259	Avian
AAS84260	Avian
AAS84261	Avian
AAS84262	Avian
AAS84263	Avian
AAS84264	Avian
AAS84265	Avian
AAS84266	Avian
AAS84267	Avian
AAS84268	Avian
AAS84269	Avian
AAS84270	Avian
AAS84271	Avian
AAS84272	Avian
AAS84273	Avian
AAS84274	Avian
AAS84275	Avian
AAS84276	Avian
AAS87577	Avian
AAS87580	Avian
AAS87596	Avian
AAS89004	Human
AAS89267	Avian
AAS89268	Avian
AAS89269	Avian
AAS89270	Avian
AAS89271	Leopard
AAS89272	Avian
AAS89273	Avian
AAS89274	Avian
AAS89275	Avian
AAS89276	Avian
AAS89277	Avian
AAS93870	Human
AAS93871	Human
AAS93872	Human
AAS93873	Human
AAS93874	Human
AAS93875	Human
AAS93876	Human
AAS93877	Human
AAS93878	Human
AAS93879	Human
AAS93880	Human
AAS93881	Human
AAS93882	Human
AAS93883	Human
AAS93884	Human
AAT00436	Swine
AAT00437	Swine
AAT00438	Swine
AAT02538	Avian
